;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
74; Ioniq;2019;19800;Automatic;1963;Petrol;135;78,5;1,6;hyundai
75; I10;2015;7500;Manual;13637;Petrol;30;57,6;0,0;hyundai
76; Tucson;2017;15700;Automatic;7457;Diesel;125;57,6;0,0;hyundai
77; I20;2017;8500;Manual;16708;Petrol;145;58,9;0,0;hyundai
78; Tucson;2017;12000;Manual;2236;Petrol;160;44,8;1,6;hyundai
79; I30;2018;9299;Manual;21859;Petrol;145;56,5;1,0;hyundai
80; Tucson;2016;11599;Manual;31480;Diesel;30;61,7;1,7;hyundai
81; I10;2017;7000;Manual;31696;Petrol;145;57,7;1,2;hyundai
82; I10;2017;8000;Manual;16636;Petrol;145;60,1;0,0;hyundai
83; I20;2017;8600;Manual;19398;Petrol;30;58,9;0,0;hyundai
84; I30;2016;8900;Manual;18257;Diesel;0;78,4;1,6;hyundai
85; IX35;2014;9800;Manual;35541;Diesel;145;53,3;1,7;hyundai
86; I10;2015;6800;Manual;22211;Petrol;20;60,1;1,0;hyundai
87; I30;2018;11531;Automatic;35097;Petrol;145;51,4;1,4;hyundai
88; I40;2016;11400;Automatic;27712;Diesel;125;56,5;1,7;hyundai
89; IX20;2016;7194;Manual;27696;Petrol;125;50,4;1,4;hyundai
90; I10;2015;6500;Manual;12731;Petrol;30;57,6;1,2;hyundai
91; Tucson;2018;12556;Manual;20443;Petrol;145;44,8;1,6;hyundai
92; I10;2014;5644;Manual;40248;Petrol;20;60,1;1,0;hyundai
93; I10;2017;7799;Manual;21321;Petrol;145;57,7;1,2;hyundai
94; IX35;2011;6936;Manual;72436;Diesel;200;47,9;2,0;hyundai
95; I10;2018;9499;Automatic;8418;Petrol;145;47,9;1,2;hyundai
96; IX35;2012;5000;Manual;119050;Diesel;150;48,7;1,7;hyundai
97; I30;2018;9000;Manual;15804;Petrol;145;57,7;1,0;hyundai
98; I800;2017;13499;Automatic;44749;Diesel;145;33,6;2,5;hyundai
99; I10;2016;6000;Manual;23176;Petrol;30;57,6;1,2;hyundai
100; I10;2018;8495;Automatic;28889;Petrol;145;47,9;1,2;hyundai
101; I20;2019;11995;Manual;3300;Petrol;145;46,3;1,2;hyundai
102; I10;2018;6350;Manual;31738;Petrol;145;60,1;1,0;hyundai
103; I20;2019;11795;Manual;5409;Petrol;150;46,3;1,2;hyundai
104; Tucson;2016;13300;Manual;25071;Diesel;30;61,7;1,7;hyundai
105; Tucson;2018;13950;Manual;17427;Petrol;150;44,8;1,6;hyundai
106; Tucson;2019;15600;Manual;8000;Petrol;150;34,9;1,6;hyundai
107; Tucson;2016;12795;Manual;26804;Diesel;30;61,7;1,7;hyundai
108; I10;2014;6600;Manual;31090;Petrol;30;57,6;0,0;hyundai
109; Veloster;2012;6300;Manual;60200;Petrol;165;43,5;1,6;hyundai
110; Santa Fe;2014;15500;Automatic;37006;Diesel;265;41,5;2,2;hyundai
111; Tucson;2019;15400;Manual;12254;Petrol;150;34,9;1,6;hyundai
112; I30;2016;8900;Manual;17350;Petrol;145;48,7;1,4;hyundai
113; Tucson;2017;14100;Semi-Auto;27299;Diesel;145;57,6;1,7;hyundai
114; Tucson;2017;13100;Manual;21119;Diesel;30;61,7;1,7;hyundai
115; Tucson;2017;12600;Manual;36750;Diesel;30;61,7;1,7;hyundai
116; Tucson;2016;12950;Manual;37350;Diesel;125;58,9;2,0;hyundai
117; Tucson;2018;13300;Manual;29413;Petrol;150;44,8;1,6;hyundai
118; Tucson;2017;12700;Manual;33808;Diesel;30;61,7;1,7;hyundai
119; IX35;2015;9700;Manual;26564;Petrol;200;41,5;0,0;hyundai
120; IX35;2014;8700;Manual;54304;Diesel;145;53,3;0,0;hyundai
121; I20;2016;7500;Manual;41496;Petrol;30;56,5;0,0;hyundai
122; IX20;2014;6500;Manual;38601;Petrol;125;50,4;0,0;hyundai
123; I10;2017;7000;Manual;31232;Petrol;145;57,7;0,0;hyundai
124; I20;2019;12000;Manual;7061;Petrol;145;46,3;1,2;hyundai
125; I30;2015;8250;Manual;29980;Diesel;0;78,4;1,6;hyundai
126; I20;2017;7999;Manual;44120;Petrol;150;62,8;1,0;hyundai
127; IX35;2011;7799;Automatic;48528;Diesel;300;39,2;2,0;hyundai
128; Tucson;2016;14999;Automatic;20645;Diesel;205;47,1;2,0;hyundai
129; Santa Fe;2017;18999;Automatic;20599;Diesel;150;42,8;2,2;hyundai
130; I10;2012;3799;Manual;56582;Petrol;20;61,4;1,2;hyundai
131; I30;2015;7803;Manual;43022;Diesel;0;78,4;1,6;hyundai
132; Tucson;2016;12995;Manual;37688;Diesel;30;61,7;1,7;hyundai
133; Tucson;2016;16498;Automatic;12163;Diesel;200;46,3;2,0;hyundai
134; I30;2015;8998;Manual;16412;Petrol;145;48,7;1,4;hyundai
135; Kona;2019;14298;Manual;6874;Petrol;145;44,1;1,0;hyundai
136; IX35;2013;7298;Manual;50998;Diesel;145;48,7;1,7;hyundai
137; I10;2016;5998;Manual;41883;Petrol;30;57,6;1,2;hyundai
138; I30;2018;11998;Manual;5404;Diesel;145;74,3;1,6;hyundai
139; I800;2018;15998;Manual;36815;Diesel;145;28,0;2,5;hyundai
140; I10;2014;5498;Manual;13840;Petrol;20;60,1;1,0;hyundai
141; I30;2016;7498;Manual;56693;Diesel;0;78,4;1,6;hyundai
142; IX20;2015;6498;Manual;57819;Petrol;125;50,4;1,4;hyundai
143; Kona;2019;15498;Manual;5630;Petrol;145;44,1;1,0;hyundai
144; I20;2017;8498;Manual;19685;Petrol;145;58,9;1,2;hyundai
145; Tucson;2017;13698;Manual;17539;Diesel;30;61,7;1,7;hyundai
146; I10;2017;6998;Manual;39968;Petrol;145;57,7;1,2;hyundai
147; Tucson;2017;13998;Manual;21679;Diesel;30;61,7;1,7;hyundai
148; Tucson;2017;14498;Manual;9146;Diesel;150;61,7;1,7;hyundai
149; I800;2019;19998;Automatic;1477;Diesel;145;31,7;2,5;hyundai
150; Kona;2018;12498;Manual;12834;Petrol;145;52,3;1,0;hyundai
151; I40;2017;8998;Manual;59626;Diesel;150;67,3;1,7;hyundai
152; IX20;2016;8298;Manual;28355;Petrol;125;50,4;1,4;hyundai
153; Kona;2018;15995;Manual;23400;Petrol;145;52,3;1,0;hyundai
154; IX35;2015;9495;Manual;46000;Diesel;145;53,3;1,7;hyundai
155; I30;2018;8998;Manual;24070;Petrol;145;57,7;1,0;hyundai
156; I30;2019;14998;Manual;3010;Petrol;145;41,5;1,4;hyundai
157; I30;2019;14998;Manual;3303;Petrol;145;41,5;1,4;hyundai
158; Kona;2019;21998;Automatic;1391;Hybrid;135;52,3;1,6;hyundai
159; I20;2017;8998;Manual;16900;Petrol;145;55,4;1,2;hyundai
160; I40;2016;10998;Manual;29347;Diesel;30;65,7;1,7;hyundai
161; I20;2016;9498;Manual;17206;Petrol;30;58,9;1,0;hyundai
162; I10;2015;5998;Manual;8116;Petrol;20;60,1;1,0;hyundai
163; IX20;2015;7998;Manual;20077;Petrol;125;50,4;1,4;hyundai
164; I20;2017;7998;Manual;28502;Petrol;145;55,4;1,2;hyundai
165; I20;2015;7398;Manual;23656;Petrol;30;55,4;1,2;hyundai
166; I20;2015;6698;Manual;43795;Petrol;125;51,4;1,4;hyundai
167; I20;2017;8598;Manual;9392;Petrol;30;58,9;1,2;hyundai
168; I30;2019;23498;Manual;1437;Petrol;145;34,0;2,0;hyundai
169; Kona;2019;14998;Manual;2383;Petrol;145;44,1;1,0;hyundai
170; Santa Fe;2019;34998;Semi-Auto;4133;Diesel;145;39,2;2,2;hyundai
171; Santa Fe;2019;34998;Semi-Auto;4956;Diesel;145;39,2;2,2;hyundai
172; Tucson;2019;15998;Manual;3454;Petrol;145;35,3;1,6;hyundai
173; I30;2019;14998;Manual;3001;Petrol;145;41,5;1,4;hyundai
174; Tucson;2019;15498;Manual;14877;Petrol;150;34,9;1,6;hyundai
175; Tucson;2019;18998;Semi-Auto;3649;Petrol;150;36,2;1,6;hyundai
176; Tucson;2017;14498;Manual;12811;Diesel;150;61,7;1,7;hyundai
177; Tucson;2017;15298;Semi-Auto;19066;Diesel;150;57,6;1,7;hyundai
178; Tucson;2017;15998;Semi-Auto;11231;Diesel;150;57,6;1,7;hyundai
179; I10;2017;6498;Manual;23692;Petrol;20;60,1;1,0;hyundai
180; Santa Fe;2017;15998;Manual;48034;Diesel;205;47,1;2,2;hyundai
181; Tucson;2016;12498;Manual;41953;Diesel;30;61,7;1,7;hyundai
182; IX20;2014;5998;Manual;42386;Diesel;30;64,2;1,6;hyundai
183; Tucson;2018;16500;Manual;12875;Petrol;145;38,7;1,6;hyundai
184; Santa Fe;2015;16998;Semi-Auto;38514;Diesel;265;42,2;2,2;hyundai
185; Tucson;2016;10998;Manual;20258;Petrol;160;44,8;1,6;hyundai
186; Tucson;2017;15998;Semi-Auto;12150;Diesel;145;57,6;1,7;hyundai
187; Tucson;2016;18698;Automatic;14884;Diesel;235;43,5;2,0;hyundai
188; Tucson;2017;11498;Manual;35213;Diesel;145;61,7;1,7;hyundai
189; Tucson;2018;14998;Manual;7482;Petrol;145;44,8;1,6;hyundai
190; Tucson;2019;15498;Manual;12077;Petrol;145;34,9;1,6;hyundai
191; Tucson;2017;13498;Manual;5863;Petrol;160;44,8;1,6;hyundai
192; I20;2018;9985;Automatic;20796;Petrol;145;45,6;1,4;hyundai
193; I10;2017;7498;Manual;8788;Petrol;145;60,1;1,0;hyundai
194; Tucson;2019;15998;Manual;17841;Petrol;150;34,9;1,6;hyundai
195; I30;2015;8798;Manual;21701;Petrol;150;48,7;1,4;hyundai
196; Tucson;2019;15498;Manual;15751;Petrol;150;34,9;1,6;hyundai
197; I20;2016;8298;Manual;17499;Petrol;30;55,4;1,2;hyundai
198; Kona;2019;14998;Manual;6717;Petrol;150;44,1;1,0;hyundai
199; Ioniq;2019;20998;Automatic;5530;Hybrid;140;62,8;1,6;hyundai
200; Kona;2019;20998;Automatic;4672;Hybrid;140;52,3;1,6;hyundai
201; I30;2017;10485;Manual;17609;Diesel;145;72,4;1,6;hyundai
202; Santa Fe;2018;21985;Manual;13436;Diesel;145;47,1;2,2;hyundai
203; I10;2020;14485;Manual;100;Petrol;145;51,4;1,2;hyundai
204; I20;2020;14485;Manual;100;Petrol;145;46,3;1,2;hyundai
205; Tucson;2016;11485;Manual;53963;Diesel;30;61,7;1,7;hyundai
206; I20;2016;7489;Manual;51552;Petrol;30;56,5;1,2;hyundai
207; Santa Fe;2017;19429;Semi-Auto;38452;Diesel;150;42,8;2,2;hyundai
208; I10;2017;6995;Manual;20200;Petrol;145;60,1;1,0;hyundai
209; I10;2019;9985;Manual;5223;Petrol;150;57,6;1,2;hyundai
210; Ioniq;2019;22998;Automatic;2844;Hybrid;140;1,1;1,6;hyundai
211; Tucson;2016;13298;Manual;35251;Diesel;30;61,7;1,7;hyundai
212; I800;2019;19998;Manual;7761;Diesel;145;31,7;2,5;hyundai
213; I40;2015;9298;Manual;34572;Diesel;30;65,7;1,7;hyundai
214; Tucson;2017;14985;Manual;42858;Diesel;205;47,9;2,0;hyundai
215; Tucson;2018;13985;Manual;15563;Diesel;150;61,7;1,7;hyundai
216; I40;2017;11485;Manual;17393;Diesel;145;65,7;1,7;hyundai
217; I30;2017;10785;Manual;19273;Diesel;145;74,3;1,6;hyundai
218; I30;2017;10485;Manual;15359;Diesel;145;72,4;1,6;hyundai
219; I20;2019;9485;Manual;10758;Petrol;145;46,3;1,2;hyundai
220; I20;2019;10485;Manual;13484;Petrol;145;46,3;1,2;hyundai
221; I30;2017;8985;Manual;18266;Diesel;145;72,4;1,6;hyundai
222; Tucson;2016;14798;Semi-Auto;23865;Diesel;125;57,6;1,7;hyundai
223; Tucson;2017;13698;Manual;31739;Diesel;145;61,7;1,7;hyundai
224; Tucson;2017;14498;Semi-Auto;17754;Diesel;125;57,6;1,7;hyundai
225; I10;2014;5498;Manual;23928;Petrol;20;60,1;1,0;hyundai
226; Tucson;2016;11498;Manual;40297;Diesel;30;61,7;1,7;hyundai
227; IX35;2015;8250;Manual;59238;Diesel;145;54,3;1,7;hyundai
228; I10;2017;7495;Manual;25203;Petrol;30;57,7;1,2;hyundai
229; I800;2017;15985;Automatic;35154;Diesel;325;33,6;2,5;hyundai
230; IX35;2015;7885;Manual;59817;Diesel;145;54,3;1,7;hyundai
231; IX35;2015;7995;Manual;54783;Diesel;150;53,3;1,7;hyundai
232; I20;2019;10485;Manual;11166;Petrol;145;46,3;1,2;hyundai
233; Tucson;2016;10998;Manual;40191;Diesel;30;61,7;1,7;hyundai
234; I20;2017;8498;Manual;12588;Petrol;145;55,4;1,2;hyundai
235; Santa Fe;2015;13998;Manual;54963;Diesel;200;46,3;2,2;hyundai
236; Tucson;2016;11998;Manual;35224;Diesel;30;61,7;1,7;hyundai
237; I20;2017;8995;Manual;19229;Petrol;145;62,8;1,0;hyundai
238; Santa Fe;2013;12245;Semi-Auto;72854;Diesel;260;41,5;2,2;hyundai
239; Santa Fe;2016;18295;Semi-Auto;22404;Diesel;235;42,2;2,2;hyundai
240; Kona;2018;12998;Manual;7910;Petrol;145;52,3;1,0;hyundai
241; IX35;2014;7298;Manual;71289;Diesel;145;53,3;1,7;hyundai
242; I20;2013;3998;Manual;45461;Petrol;30;57,6;1,2;hyundai
243; Tucson;2016;11998;Manual;40457;Diesel;30;61,7;1,7;hyundai
244; Tucson;2019;15498;Manual;23773;Petrol;145;34,9;1,6;hyundai
245; Kona;2019;14298;Manual;5034;Petrol;145;44,1;1,0;hyundai
246; Tucson;2016;15798;Manual;35030;Diesel;145;54,3;2,0;hyundai
247; Tucson;2017;14498;Manual;19400;Diesel;30;61,7;1,7;hyundai
248; I20;2016;8998;Automatic;28560;Petrol;160;42,2;1,4;hyundai
249; Tucson;2016;12298;Manual;35153;Diesel;30;61,7;1,7;hyundai
250; I20;2017;8298;Manual;18047;Petrol;30;55,4;1,2;hyundai
251; Tucson;2017;13498;Manual;35003;Diesel;30;61,7;1,7;hyundai
252; Tucson;2019;15498;Manual;11757;Petrol;145;34,9;1,6;hyundai
253; I40;2016;9698;Manual;38259;Diesel;30;65,7;1,7;hyundai
254; Tucson;2017;12998;Manual;40262;Diesel;145;61,7;1,7;hyundai
255; Ioniq;2018;17298;Automatic;19348;Hybrid;135;78,5;1,6;hyundai
256; Tucson;2017;12398;Manual;12239;Diesel;30;61,7;1,7;hyundai
257; Tucson;2016;13998;Semi-Auto;30551;Diesel;125;57,6;1,7;hyundai
258; I30;2015;6498;Manual;40237;Diesel;0;78,4;1,6;hyundai
259; Tucson;2019;15498;Manual;11915;Petrol;150;34,9;1,6;hyundai
260; I10;2017;6498;Manual;37254;Petrol;20;60,1;1,0;hyundai
261; Tucson;2016;14698;Manual;13254;Diesel;145;54,3;2,0;hyundai
262; IX20;2016;7998;Manual;20760;Petrol;125;50,4;1,4;hyundai
263; Tucson;2017;15698;Semi-Auto;7015;Diesel;145;57,6;1,7;hyundai
264; Tucson;2018;12698;Manual;14183;Petrol;145;44,8;1,6;hyundai
265; Tucson;2015;10298;Manual;69085;Diesel;30;61,7;1,7;hyundai
266; I40;2014;7498;Manual;51515;Diesel;30;62,8;1,7;hyundai
267; Tucson;2016;12498;Manual;15959;Diesel;30;61,7;1,7;hyundai
268; Kona;2019;14298;Manual;10757;Petrol;145;44,1;1,0;hyundai
269; Kona;2019;14298;Manual;9829;Petrol;145;44,1;1,0;hyundai
270; I800;2018;15998;Manual;37324;Diesel;145;28,0;2,5;hyundai
271; I30;2018;11298;Manual;14655;Petrol;145;56,5;1,0;hyundai
272; I30;2018;8998;Manual;20596;Petrol;145;57,7;1,0;hyundai
273; I30;2018;11998;Manual;12486;Diesel;145;74,3;1,6;hyundai
274; I20;2014;4998;Manual;43444;Petrol;30;57,6;1,2;hyundai
275; Tucson;2017;14498;Manual;37587;Diesel;145;54,3;2,0;hyundai
276; Tucson;2017;13998;Manual;23643;Diesel;145;61,7;1,7;hyundai
277; Tucson;2017;14998;Semi-Auto;13094;Diesel;125;57,6;1,7;hyundai
278; Tucson;2018;15500;Manual;4411;Petrol;145;34,9;1,6;hyundai
279; Kona;2019;15498;Manual;10;Petrol;145;44,1;1,0;hyundai
280; IX35;2013;6998;Manual;80465;Diesel;145;53,3;1,7;hyundai
281; Tucson;2019;15498;Manual;17948;Petrol;145;34,9;1,6;hyundai
282; Kona;2019;15498;Manual;10;Petrol;145;44,1;1,0;hyundai
283; I30;2019;14998;Manual;3292;Petrol;145;41,5;1,4;hyundai
284; Tucson;2016;11698;Manual;29051;Diesel;30;61,7;1,7;hyundai
285; I30;2013;5998;Manual;59039;Diesel;0;74,3;1,6;hyundai
286; I10;2016;5998;Manual;20851;Petrol;20;60,1;1,0;hyundai
287; I20;2015;7298;Manual;35921;Petrol;30;55,4;1,2;hyundai
288; I30;2017;9698;Manual;43717;Diesel;20;72,4;1,6;hyundai
289; I30;2018;10998;Manual;14927;Petrol;145;56,5;1,0;hyundai
290; I40;2016;9698;Manual;40134;Diesel;30;65,7;1,7;hyundai
291; Kona;2019;15498;Manual;10;Petrol;145;44,1;1,0;hyundai
292; Kona;2018;13498;Manual;12884;Petrol;145;44,1;1,0;hyundai
293; Kona;2018;13698;Manual;9616;Petrol;145;44,1;1,0;hyundai
294; I10;2017;6698;Manual;19419;Petrol;145;60,1;1,0;hyundai
295; Kona;2019;15298;Manual;879;Petrol;145;44,1;1,0;hyundai
296; IX20;2017;9998;Manual;9604;Petrol;145;50,4;1,4;hyundai
297; I10;2014;5500;Manual;17904;Petrol;20;60,1;1,0;hyundai
298; Tucson;2016;11400;Manual;24400;Petrol;160;44,8;1,6;hyundai
299; IX20;2017;8998;Manual;22861;Petrol;145;50,4;1,4;hyundai
300; Santa Fe;2015;14498;Manual;25770;Diesel;200;46,3;2,2;hyundai
301; I20;2017;7798;Manual;14814;Petrol;150;55,4;1,2;hyundai
302; Kona;2019;13998;Manual;4396;Petrol;145;44,1;1,0;hyundai
303; I10;2017;6498;Manual;26222;Petrol;145;60,1;1,0;hyundai
304; Tucson;2015;11998;Manual;27256;Diesel;30;61,7;1,7;hyundai
305; I30;2016;8498;Manual;20251;Petrol;125;50,4;1,4;hyundai
306; IX20;2016;7998;Manual;18562;Petrol;125;50,4;1,4;hyundai
307; Tucson;2017;13998;Manual;19372;Diesel;150;61,7;1,7;hyundai
308; I10;2017;6498;Manual;23455;Petrol;20;60,1;1,0;hyundai
309; Tucson;2019;23998;Manual;6491;Hybrid;145;47,9;1,6;hyundai
310; Kona;2018;12998;Manual;11458;Petrol;145;52,3;1,0;hyundai
311; I20;2017;7998;Manual;35934;Petrol;145;58,9;1,2;hyundai
312; I800;2018;15498;Automatic;34889;Diesel;145;28,0;2,5;hyundai
313; I800;2018;15498;Manual;37485;Diesel;145;28,0;2,5;hyundai
314; I30;2016;8998;Manual;32025;Diesel;0;78,4;1,6;hyundai
315; Tucson;2018;14498;Manual;23513;Petrol;145;34,9;1,6;hyundai
316; Tucson;2017;12998;Manual;33461;Diesel;30;61,7;1,7;hyundai
317; I30;2018;9498;Manual;11462;Petrol;145;57,7;1,0;hyundai
318; I30;2018;9298;Manual;16259;Petrol;145;57,7;1,0;hyundai
319; I30;2019;14998;Manual;3241;Petrol;145;41,5;1,4;hyundai
320; I800;2019;20998;Manual;2573;Diesel;145;31,7;2,5;hyundai
321; I800;2019;17998;Manual;17972;Diesel;145;28,0;2,5;hyundai
322; Tucson;2018;15298;Manual;14429;Petrol;145;34,9;1,6;hyundai
323; I10;2017;6498;Manual;37864;Petrol;145;60,1;1,0;hyundai
324; I20;2019;12498;Manual;1023;Petrol;145;46,3;1,2;hyundai
325; I10;2017;6498;Manual;21070;Petrol;145;60,1;1,0;hyundai
326; Kona;2018;12498;Manual;23001;Petrol;145;52,3;1,0;hyundai
327; Kona;2018;12998;Manual;9133;Petrol;145;52,3;1,0;hyundai
328; Ioniq;2019;15998;Automatic;16280;Hybrid;135;78,5;1,6;hyundai
329; Ioniq;2019;16498;Automatic;4004;Hybrid;135;78,5;1,6;hyundai
330; Kona;2018;13998;Manual;11893;Petrol;145;44,1;1,0;hyundai
331; I800;2019;21498;Manual;2804;Diesel;145;28,0;2,5;hyundai
332; Kona;2018;13698;Manual;14441;Petrol;145;44,1;1,0;hyundai
333; I20;2016;8298;Manual;13643;Petrol;20;62,8;1,0;hyundai
334; I20;2017;9490;Manual;1862;Petrol;150;55,4;1,2;hyundai
335; Tucson;2016;11495;Manual;19312;Diesel;30;61,7;1,7;hyundai
336; I30;2019;12998;Manual;14121;Diesel;145;58,9;1,6;hyundai
337; I30;2018;11298;Manual;11150;Petrol;145;56,5;1,0;hyundai
338; I30;2018;11998;Manual;8337;Diesel;145;74,3;1,6;hyundai
339; Tucson;2016;14995;Manual;25044;Diesel;125;58,9;2,0;hyundai
340; Santa Fe;2016;16498;Manual;44905;Diesel;200;47,1;2,2;hyundai
341; Tucson;2018;17998;Manual;7874;Diesel;145;48,7;1,6;hyundai
342; I10;2018;6998;Manual;24152;Petrol;145;60,1;1,0;hyundai
343; Santa Fe;2013;11498;Semi-Auto;59701;Diesel;265;41,5;2,2;hyundai
344; I20;2015;7798;Manual;23001;Petrol;30;55,4;1,2;hyundai
345; Tucson;2019;15998;Manual;11751;Petrol;145;34,9;1,6;hyundai
346; IX20;2016;8298;Manual;16407;Petrol;125;50,4;1,4;hyundai
347; Tucson;2016;11998;Manual;36512;Diesel;30;61,7;1,7;hyundai
348; I10;2017;6998;Manual;21962;Petrol;145;60,1;1,0;hyundai
349; Tucson;2016;13298;Manual;23257;Diesel;30;61,7;1,7;hyundai
350; I30;2019;14998;Manual;3398;Petrol;145;41,5;1,4;hyundai
351; Kona;2018;13498;Manual;6922;Petrol;145;44,1;1,0;hyundai
352; I30;2015;7998;Manual;25399;Petrol;145;47,1;1,4;hyundai
353; I20;2016;7398;Manual;19230;Petrol;30;55,4;1,2;hyundai
